"","NameUsed","Institution","Pub.Outlet","InstitutionPrestige","Gender","Race"
"127","Tyra Cooks","Harvard University","Engineering","High","Female","Black"
"128","Tyra Cooks","Stanford University","Engineering","High","Female","Black"
"129","Tyra Cooks","Bridgewater State University","Engineering","Low","Female","Black"
"130","Tyra Cooks","California State University, Stanislaus","Engineering","Low","Female","Black"
"131","Janae Washington","Harvard University","Engineering","High","Female","Black"
"132","Janae Washington","Stanford University","Engineering","High","Female","Black"
"133","Janae Washington","Bridgewater State University","Engineering","Low","Female","Black"
"134","Janae Washington","California State University, Stanislaus","Engineering","Low","Female","Black"
"135","Joe Alvarez","Harvard University","Applied Mathematics","High","Male","Hispanic"
"136","Joe Alvarez","Stanford University","Applied Mathematics","High","Male","Hispanic"
"137","Monique Rivers","Harvard University","Engineering","High","Female","Black"
"138","Monique Rivers","Stanford University","Engineering","High","Female","Black"
"139","Monique Rivers","Bridgewater State University","Engineering","Low","Female","Black"
"140","Monique Rivers","California State University, Stanislaus","Engineering","Low","Female","Black"
"141","Maria Garcia","Harvard University","Engineering","High","Female","Hispanic"
"142","Maria Garcia","Stanford University","Engineering","High","Female","Hispanic"
"143","Maria Garcia","Bridgewater State University","Engineering","Low","Female","Hispanic"
"144","Maria Garcia","California State University, Stanislaus","Engineering","Low","Female","Hispanic"
"145","Vanessa Rodriquez","Harvard University","Engineering","High","Female","Hispanic"
"146","Vanessa Rodriquez","Stanford University","Engineering","High","Female","Hispanic"
"147","Vanessa Rodriquez","Bridgewater State University","Engineering","Low","Female","Hispanic"
"148","Vanessa Rodriquez","California State University, Stanislaus","Engineering","Low","Female","Hispanic"
"149","Laura Ramirez","Harvard University","Engineering","High","Female","Hispanic"
"150","Laura Ramirez","Stanford University","Engineering","High","Female","Hispanic"
"151","Jermaine Jackson","Bridgewater State University","Applied Mathematics","Low","Male","Black"
"152","Joe Alvarez","Bridgewater State University","Applied Mathematics","Low","Male","Hispanic"
"153","Laura Ramirez","Bridgewater State University","Engineering","Low","Female","Hispanic"
"154","Laura Ramirez","California State University, Stanislaus","Engineering","Low","Female","Hispanic"
"155","Gabriela Lopez","Harvard University","Engineering","High","Female","Hispanic"
"156","Gabriela Lopez","Stanford University","Engineering","High","Female","Hispanic"
"157","Gabriela Lopez","Bridgewater State University","Engineering","Low","Female","Hispanic"
"158","Gabriela Lopez","California State University, Stanislaus","Engineering","Low","Female","Hispanic"
"159","Vivian Cheng","Harvard University","Engineering","High","Female","Asian"
"160","Vivian Cheng","Stanford University","Engineering","High","Female","Asian"
"161","Vivian Cheng","Bridgewater State University","Engineering","Low","Female","Asian"
"162","Vivian Cheng","California State University, Stanislaus","Engineering","Low","Female","Asian"
"163","Christina Wang","Harvard University","Engineering","High","Female","Asian"
"164","Christina Wang","Stanford University","Engineering","High","Female","Asian"
"165","Christina Wang","Bridgewater State University","Engineering","Low","Female","Asian"
"166","Joe Alvarez","California State University, Stanislaus","Applied Mathematics","Low","Male","Hispanic"
"167","Christina Wang","California State University, Stanislaus","Engineering","Low","Female","Asian"
"168","Suni Tran","Harvard University","Engineering","High","Female","Asian"
"169","Suni Tran","Stanford University","Engineering","High","Female","Asian"
"170","Suni Tran","Bridgewater State University","Engineering","Low","Female","Asian"
"171","Suni Tran","California State University, Stanislaus","Engineering","Low","Female","Asian"
"172","Mei Lin","Harvard University","Engineering","High","Female","Asian"
"173","Mei Lin","Stanford University","Engineering","High","Female","Asian"
"174","Mei Lin","Bridgewater State University","Engineering","Low","Female","Asian"
"175","Mei Lin","California State University, Stanislaus","Engineering","Low","Female","Asian"
"176","Katie Burns","Harvard University","Engineering","High","Female","White"
"177","Katie Burns","Stanford University","Engineering","High","Female","White"
"178","Katie Burns","Bridgewater State University","Engineering","Low","Female","White"
"179","Katie Burns","California State University, Stanislaus","Engineering","Low","Female","White"
"180","Rodrigo Romero","Harvard University","Applied Mathematics","High","Male","Hispanic"
"181","Rodrigo Romero","Stanford University","Applied Mathematics","High","Male","Hispanic"
"182","Cara O'Connor","Harvard University","Engineering","High","Female","White"
"183","Cara O'Connor","Stanford University","Engineering","High","Female","White"
"184","Cara O'Connor","Bridgewater State University","Engineering","Low","Female","White"
"185","Cara O'Connor","California State University, Stanislaus","Engineering","Low","Female","White"
"186","Allison Baker","Harvard University","Engineering","High","Female","White"
"187","Allison Baker","Stanford University","Engineering","High","Female","White"
"188","Allison Baker","Bridgewater State University","Engineering","Low","Female","White"
"189","Allison Baker","California State University, Stanislaus","Engineering","Low","Female","White"
"190","Meredith Rogers","Harvard University","Engineering","High","Female","White"
"191","Meredith Rogers","Stanford University","Engineering","High","Female","White"
"192","Meredith Rogers","Bridgewater State University","Engineering","Low","Female","White"
"193","Meredith Rogers","California State University, Stanislaus","Engineering","Low","Female","White"
"194","Liu Xiaohong","Harvard University","Engineering","High","Female","Asian"
"195","Liu Xiaohong","Stanford University","Engineering","High","Female","Asian"
"196","Rodrigo Romero","Bridgewater State University","Applied Mathematics","Low","Male","Hispanic"
"197","Liu Xiaohong","Bridgewater State University","Engineering","Low","Female","Asian"
"198","Liu Xiaohong","California State University, Stanislaus","Engineering","Low","Female","Asian"
"199","Chen Meili","Harvard University","Engineering","High","Female","Asian"
"200","Chen Meili","Stanford University","Engineering","High","Female","Asian"
"201","Chen Meili","Bridgewater State University","Engineering","Low","Female","Asian"
"202","Chen Meili","California State University, Stanislaus","Engineering","Low","Female","Asian"
"203","Priya Kumar","Harvard University","Engineering","High","Female","Asian"
"204","Priya Kumar","Stanford University","Engineering","High","Female","Asian"
"205","Priya Kumar","Bridgewater State University","Engineering","Low","Female","Asian"
"206","Priya Kumar","California State University, Stanislaus","Engineering","Low","Female","Asian"
"207","Anjali Gupta","Harvard University","Engineering","High","Female","Asian"
"208","Anjali Gupta","Stanford University","Engineering","High","Female","Asian"
"209","Anjali Gupta","Bridgewater State University","Engineering","Low","Female","Asian"
"210","Rodrigo Romero","California State University, Stanislaus","Applied Mathematics","Low","Male","Hispanic"
"211","Anjali Gupta","California State University, Stanislaus","Engineering","Low","Female","Asian"
"212","Jermaine Jackson","Harvard University","Statistics","High","Male","Black"
"213","Jermaine Jackson","Stanford University","Statistics","High","Male","Black"
"214","Jermaine Jackson","Bridgewater State University","Statistics","Low","Male","Black"
"215","Jermaine Jackson","California State University, Stanislaus","Statistics","Low","Male","Black"
"216","Denzel Gaines","Harvard University","Statistics","High","Male","Black"
"217","Denzel Gaines","Stanford University","Statistics","High","Male","Black"
"218","Denzel Gaines","Bridgewater State University","Statistics","Low","Male","Black"
"219","Denzel Gaines","California State University, Stanislaus","Statistics","Low","Male","Black"
"220","Darius Mosby","Harvard University","Statistics","High","Male","Black"
"221","Darius Mosby","Stanford University","Statistics","High","Male","Black"
"222","Darius Mosby","Bridgewater State University","Statistics","Low","Male","Black"
"223","Darius Mosby","California State University, Stanislaus","Statistics","Low","Male","Black"
"224","George Yang","Harvard University","Applied Mathematics","High","Male","Asian"
"225","George Yang","Stanford University","Applied Mathematics","High","Male","Asian"
"226","Darnell Dawkins","Harvard University","Statistics","High","Male","Black"
"227","Darnell Dawkins","Stanford University","Statistics","High","Male","Black"
"228","Darnell Dawkins","Bridgewater State University","Statistics","Low","Male","Black"
"229","Darnell Dawkins","California State University, Stanislaus","Statistics","Low","Male","Black"
"230","Miguel Fernandez","Harvard University","Statistics","High","Male","Hispanic"
"231","Miguel Fernandez","Stanford University","Statistics","High","Male","Hispanic"
"232","Miguel Fernandez","Bridgewater State University","Statistics","Low","Male","Hispanic"
"233","Miguel Fernandez","California State University, Stanislaus","Statistics","Low","Male","Hispanic"
"234","Christian Hernandez","Harvard University","Statistics","High","Male","Hispanic"
"235","Christian Hernandez","Stanford University","Statistics","High","Male","Hispanic"
"236","Christian Hernandez","Bridgewater State University","Statistics","Low","Male","Hispanic"
"237","Christian Hernandez","California State University, Stanislaus","Statistics","Low","Male","Hispanic"
"238","Joe Alvarez","Harvard University","Statistics","High","Male","Hispanic"
"239","Joe Alvarez","Stanford University","Statistics","High","Male","Hispanic"
"240","George Yang","Bridgewater State University","Applied Mathematics","Low","Male","Asian"
"241","Joe Alvarez","Bridgewater State University","Statistics","Low","Male","Hispanic"
"242","Joe Alvarez","California State University, Stanislaus","Statistics","Low","Male","Hispanic"
"243","Rodrigo Romero","Harvard University","Statistics","High","Male","Hispanic"
"244","Rodrigo Romero","Stanford University","Statistics","High","Male","Hispanic"
"245","Rodrigo Romero","Bridgewater State University","Statistics","Low","Male","Hispanic"
"246","Rodrigo Romero","California State University, Stanislaus","Statistics","Low","Male","Hispanic"
"247","George Yang","Harvard University","Statistics","High","Male","Asian"
"248","George Yang","Stanford University","Statistics","High","Male","Asian"
"249","George Yang","Bridgewater State University","Statistics","Low","Male","Asian"
"250","George Yang","California State University, Stanislaus","Statistics","Low","Male","Asian"
"251","Harry Wu","Harvard University","Statistics","High","Male","Asian"
"252","Harry Wu","Stanford University","Statistics","High","Male","Asian"
"253","Harry Wu","Bridgewater State University","Statistics","Low","Male","Asian"
"254","George Yang","California State University, Stanislaus","Applied Mathematics","Low","Male","Asian"
"255","Harry Wu","California State University, Stanislaus","Statistics","Low","Male","Asian"
"256","Pheng Chan","Harvard University","Statistics","High","Male","Asian"
"257","Pheng Chan","Stanford University","Statistics","High","Male","Asian"
"258","Pheng Chan","Bridgewater State University","Statistics","Low","Male","Asian"
"259","Pheng Chan","California State University, Stanislaus","Statistics","Low","Male","Asian"
"260","Kenji Yoshida","Harvard University","Statistics","High","Male","Asian"
"261","Kenji Yoshida","Stanford University","Statistics","High","Male","Asian"
"262","Kenji Yoshida","Bridgewater State University","Statistics","Low","Male","Asian"
"263","Kenji Yoshida","California State University, Stanislaus","Statistics","Low","Male","Asian"
"264","Gregory Roberts","Harvard University","Statistics","High","Male","White"
"265","Gregory Roberts","Stanford University","Statistics","High","Male","White"
"266","Gregory Roberts","Bridgewater State University","Statistics","Low","Male","White"
"267","Gregory Roberts","California State University, Stanislaus","Statistics","Low","Male","White"
"268","Harry Wu","Harvard University","Applied Mathematics","High","Male","Asian"
"269","Harry Wu","Stanford University","Applied Mathematics","High","Male","Asian"
"270","Matthew Owens","Harvard University","Statistics","High","Male","White"
"271","Matthew Owens","Stanford University","Statistics","High","Male","White"
"272","Matthew Owens","Bridgewater State University","Statistics","Low","Male","White"
"273","Matthew Owens","California State University, Stanislaus","Statistics","Low","Male","White"
"274","Paul Bennett","Harvard University","Statistics","High","Male","White"
"275","Paul Bennett","Stanford University","Statistics","High","Male","White"
"276","Paul Bennett","Bridgewater State University","Statistics","Low","Male","White"
"277","Paul Bennett","California State University, Stanislaus","Statistics","Low","Male","White"
"278","Chad Nichols","Harvard University","Statistics","High","Male","White"
"279","Chad Nichols","Stanford University","Statistics","High","Male","White"
"280","Chad Nichols","Bridgewater State University","Statistics","Low","Male","White"
"281","Chad Nichols","California State University, Stanislaus","Statistics","Low","Male","White"
"282","Li Weihao","Harvard University","Statistics","High","Male","Asian"
"283","Li Weihao","Stanford University","Statistics","High","Male","Asian"
"284","Harry Wu","Bridgewater State University","Applied Mathematics","Low","Male","Asian"
"285","Li Weihao","Bridgewater State University","Statistics","Low","Male","Asian"
"286","Li Weihao","California State University, Stanislaus","Statistics","Low","Male","Asian"
"287","Wang Gangwei","Harvard University","Statistics","High","Male","Asian"
"288","Wang Gangwei","Stanford University","Statistics","High","Male","Asian"
"289","Wang Gangwei","Bridgewater State University","Statistics","Low","Male","Asian"
"290","Wang Gangwei","California State University, Stanislaus","Statistics","Low","Male","Asian"
"291","Rahul Sharma","Harvard University","Statistics","High","Male","Asian"
"292","Rahul Sharma","Stanford University","Statistics","High","Male","Asian"
"293","Rahul Sharma","Bridgewater State University","Statistics","Low","Male","Asian"
"294","Rahul Sharma","California State University, Stanislaus","Statistics","Low","Male","Asian"
"295","Amit Patel","Harvard University","Statistics","High","Male","Asian"
"296","Amit Patel","Stanford University","Statistics","High","Male","Asian"
"297","Amit Patel","Bridgewater State University","Statistics","Low","Male","Asian"
"298","Jermaine Jackson","California State University, Stanislaus","Applied Mathematics","Low","Male","Black"
"299","Harry Wu","California State University, Stanislaus","Applied Mathematics","Low","Male","Asian"
"300","Amit Patel","California State University, Stanislaus","Statistics","Low","Male","Asian"
"301","Keisha Towns","Harvard University","Statistics","High","Female","Black"
"302","Keisha Towns","Stanford University","Statistics","High","Female","Black"
"303","Keisha Towns","Bridgewater State University","Statistics","Low","Female","Black"
"304","Keisha Towns","California State University, Stanislaus","Statistics","Low","Female","Black"
"305","Tyra Cooks","Harvard University","Statistics","High","Female","Black"
"306","Tyra Cooks","Stanford University","Statistics","High","Female","Black"
"307","Tyra Cooks","Bridgewater State University","Statistics","Low","Female","Black"
"308","Tyra Cooks","California State University, Stanislaus","Statistics","Low","Female","Black"
"309","Janae Washington","Harvard University","Statistics","High","Female","Black"
"310","Janae Washington","Stanford University","Statistics","High","Female","Black"
"311","Janae Washington","Bridgewater State University","Statistics","Low","Female","Black"
"312","Janae Washington","California State University, Stanislaus","Statistics","Low","Female","Black"
"313","Pheng Chan","Harvard University","Applied Mathematics","High","Male","Asian"
"314","Pheng Chan","Stanford University","Applied Mathematics","High","Male","Asian"
"315","Monique Rivers","Harvard University","Statistics","High","Female","Black"
"316","Monique Rivers","Stanford University","Statistics","High","Female","Black"
"317","Monique Rivers","Bridgewater State University","Statistics","Low","Female","Black"
"318","Monique Rivers","California State University, Stanislaus","Statistics","Low","Female","Black"
"319","Maria Garcia","Harvard University","Statistics","High","Female","Hispanic"
"320","Maria Garcia","Stanford University","Statistics","High","Female","Hispanic"
"321","Maria Garcia","Bridgewater State University","Statistics","Low","Female","Hispanic"
"322","Maria Garcia","California State University, Stanislaus","Statistics","Low","Female","Hispanic"
"323","Vanessa Rodriquez","Harvard University","Statistics","High","Female","Hispanic"
"324","Vanessa Rodriquez","Stanford University","Statistics","High","Female","Hispanic"
"325","Vanessa Rodriquez","Bridgewater State University","Statistics","Low","Female","Hispanic"
"326","Vanessa Rodriquez","California State University, Stanislaus","Statistics","Low","Female","Hispanic"
"327","Laura Ramirez","Harvard University","Statistics","High","Female","Hispanic"
"328","Laura Ramirez","Stanford University","Statistics","High","Female","Hispanic"
"329","Pheng Chan","Bridgewater State University","Applied Mathematics","Low","Male","Asian"
"330","Laura Ramirez","Bridgewater State University","Statistics","Low","Female","Hispanic"
"331","Laura Ramirez","California State University, Stanislaus","Statistics","Low","Female","Hispanic"
"332","Gabriela Lopez","Harvard University","Statistics","High","Female","Hispanic"
"333","Gabriela Lopez","Stanford University","Statistics","High","Female","Hispanic"
"334","Gabriela Lopez","Bridgewater State University","Statistics","Low","Female","Hispanic"
"335","Gabriela Lopez","California State University, Stanislaus","Statistics","Low","Female","Hispanic"
"336","Vivian Cheng","Harvard University","Statistics","High","Female","Asian"
"337","Vivian Cheng","Stanford University","Statistics","High","Female","Asian"
"338","Vivian Cheng","Bridgewater State University","Statistics","Low","Female","Asian"
"339","Vivian Cheng","California State University, Stanislaus","Statistics","Low","Female","Asian"
"340","Christina Wang","Harvard University","Statistics","High","Female","Asian"
"341","Christina Wang","Stanford University","Statistics","High","Female","Asian"
"342","Christina Wang","Bridgewater State University","Statistics","Low","Female","Asian"
"343","Pheng Chan","California State University, Stanislaus","Applied Mathematics","Low","Male","Asian"
"344","Christina Wang","California State University, Stanislaus","Statistics","Low","Female","Asian"
"345","Suni Tran","Harvard University","Statistics","High","Female","Asian"
"346","Suni Tran","Stanford University","Statistics","High","Female","Asian"
"347","Suni Tran","Bridgewater State University","Statistics","Low","Female","Asian"
"348","Suni Tran","California State University, Stanislaus","Statistics","Low","Female","Asian"
"349","Mei Lin","Harvard University","Statistics","High","Female","Asian"
"350","Mei Lin","Stanford University","Statistics","High","Female","Asian"
"351","Mei Lin","Bridgewater State University","Statistics","Low","Female","Asian"
"352","Mei Lin","California State University, Stanislaus","Statistics","Low","Female","Asian"
"353","Katie Burns","Harvard University","Statistics","High","Female","White"
"354","Katie Burns","Stanford University","Statistics","High","Female","White"
"355","Katie Burns","Bridgewater State University","Statistics","Low","Female","White"
"356","Katie Burns","California State University, Stanislaus","Statistics","Low","Female","White"
"357","Kenji Yoshida","Harvard University","Applied Mathematics","High","Male","Asian"
"358","Kenji Yoshida","Stanford University","Applied Mathematics","High","Male","Asian"
"359","Cara O'Connor","Harvard University","Statistics","High","Female","White"
"360","Cara O'Connor","Stanford University","Statistics","High","Female","White"
"361","Cara O'Connor","Bridgewater State University","Statistics","Low","Female","White"
"362","Cara O'Connor","California State University, Stanislaus","Statistics","Low","Female","White"
"363","Allison Baker","Harvard University","Statistics","High","Female","White"
"364","Allison Baker","Stanford University","Statistics","High","Female","White"
"365","Allison Baker","Bridgewater State University","Statistics","Low","Female","White"
"366","Allison Baker","California State University, Stanislaus","Statistics","Low","Female","White"
"367","Meredith Rogers","Harvard University","Statistics","High","Female","White"
"368","Meredith Rogers","Stanford University","Statistics","High","Female","White"
"369","Meredith Rogers","Bridgewater State University","Statistics","Low","Female","White"
"370","Meredith Rogers","California State University, Stanislaus","Statistics","Low","Female","White"
"371","Liu Xiaohong","Harvard University","Statistics","High","Female","Asian"
"372","Liu Xiaohong","Stanford University","Statistics","High","Female","Asian"
"373","Kenji Yoshida","Bridgewater State University","Applied Mathematics","Low","Male","Asian"
"374","Liu Xiaohong","Bridgewater State University","Statistics","Low","Female","Asian"
"375","Liu Xiaohong","California State University, Stanislaus","Statistics","Low","Female","Asian"
"376","Chen Meili","Harvard University","Statistics","High","Female","Asian"
"377","Chen Meili","Stanford University","Statistics","High","Female","Asian"
"378","Chen Meili","Bridgewater State University","Statistics","Low","Female","Asian"
"379","Chen Meili","California State University, Stanislaus","Statistics","Low","Female","Asian"
"380","Priya Kumar","Harvard University","Statistics","High","Female","Asian"
"381","Priya Kumar","Stanford University","Statistics","High","Female","Asian"
"382","Priya Kumar","Bridgewater State University","Statistics","Low","Female","Asian"
"383","Priya Kumar","California State University, Stanislaus","Statistics","Low","Female","Asian"
"384","Anjali Gupta","Harvard University","Statistics","High","Female","Asian"
"385","Anjali Gupta","Stanford University","Statistics","High","Female","Asian"
"386","Anjali Gupta","Bridgewater State University","Statistics","Low","Female","Asian"
"387","Kenji Yoshida","California State University, Stanislaus","Applied Mathematics","Low","Male","Asian"
"388","Anjali Gupta","California State University, Stanislaus","Statistics","Low","Female","Asian"
"389","Jermaine Jackson","Harvard University","Political Sciences","High","Male","Black"
"390","Jermaine Jackson","Stanford University","Political Sciences","High","Male","Black"
"391","Jermaine Jackson","Bridgewater State University","Political Sciences","Low","Male","Black"
